 U+4E00	A440
 U+4E01	A442
 U+4E03	A443
 U+4E07	C945
 U+4E08	A456
 U+4E09	A454
 U+4E0A	A457
 U+4E0B	A455
 U+4E0C	C946
 U+4E0D	A4A3
 U+4E0E	C94F
 U+4E0F	C94D
 U+4E10	A4A2
 U+4E11	A4A1
 U+4E14	A542
 U+4E15	A541
 U+4E16	A540
 U+4E18	A543
 U+4E19	A4FE
 U+4E1E	A5E0
 U+4E1F	A5E1
 U+4E26	A8C3
 U+4E2B	A458
 U+4E2D	A4A4
 U+4E2E	C950
 U+4E30	A4A5
 U+4E31	C963
 U+4E32	A6EA
 U+4E33	CBB1
 U+4E38	A459
 U+4E39	A4A6
 U+4E3B	A544
 U+4E3C	C964
 U+4E42	C940
 U+4E43	A444
 U+4E45	A45B
 U+4E47	C947
 U+4E48	A45C
 U+4E4B	A4A7
 U+4E4D	A545
 U+4E4E	A547
 U+4E4F	A546
 U+4E52	A5E2
 U+4E53	A5E3
 U+4E56	A8C4
 U+4E58	ADBC
 U+4E59	A441
 U+4E5C	C941
 U+4E5D	A445
 U+4E5E	A45E
 U+4E5F	A45D
 U+4E69	A5E4
 U+4E73	A8C5
 U+4E7E	B0AE
 U+4E7F	D44B
 U+4E82	B6C3
 U+4E83	DCB1
 U+4E84	DCB2
 U+4E86	A446
 U+4E88	A4A9
 U+4E8B	A8C6
 U+4E8C	A447
 U+4E8D	C948
 U+4E8E	A45F
 U+4E91	A4AA
 U+4E92	A4AC
 U+4E93	C951
 U+4E94	A4AD
 U+4E95	A4AB
 U+4E99	A5E5
 U+4E9B	A8C7
 U+4E9E	A8C8
 U+4E9F	AB45
 U+4EA1	A460
 U+4EA2	A4AE
 U+4EA4	A5E6
 U+4EA5	A5E8
 U+4EA6	A5E7
 U+4EA8	A6EB
 U+4EAB	A8C9
 U+4EAC	A8CA
 U+4EAD	AB46
 U+4EAE	AB47
 U+4EB3	ADBD
 U+4EB6	DCB3
 U+4EB9	F6D6
 U+4EBA	A448
 U+4EC0	A4B0
 U+4EC1	A4AF
 U+4EC2	C952
 U+4EC3	A4B1
 U+4EC4	A4B7
 U+4EC6	A4B2
 U+4EC7	A4B3
 U+4EC8	C954
 U+4EC9	C953
 U+4ECA	A4B5
 U+4ECB	A4B6
 U+4ECD	A4B4
 U+4ED4	A54A
 U+4ED5	A54B
 U+4ED6	A54C
 U+4ED7	A54D
 U+4ED8	A549
 U+4ED9	A550
 U+4EDA	C96A
 U+4EDC	C966
 U+4EDD	C969
 U+4EDE	A551
 U+4EDF	A561
 U+4EE1	C968
 U+4EE3	A54E
 U+4EE4	A54F
 U+4EE5	A548
 U+4EE8	C965
 U+4EE9	C967
 U+4EF0	A5F5
 U+4EF1	C9B0
 U+4EF2	A5F2
 U+4EF3	A5F6
 U+4EF4	C9BA
 U+4EF5	C9AE
 U+4EF6	A5F3
 U+4EF7	C9B2
 U+4EFB	A5F4
 U+4EFD	A5F7
 U+4EFF	A5E9
 U+4F00	C9B1
 U+4F01	A5F8
 U+4F02	C9B5
 U+4F04	C9B9
 U+4F05	C9B6
 U+4F08	C9B3
 U+4F09	A5EA
 U+4F0A	A5EC
 U+4F0B	A5F9
 U+4F0D	A5EE
 U+4F0E	C9AB
 U+4F0F	A5F1
 U+4F10	A5EF
 U+4F11	A5F0
 U+4F12	C9BB
 U+4F13	C9B8
 U+4F14	C9AF
 U+4F15	A5ED
 U+4F18	C9AC
 U+4F19	A5EB
 U+4F1D	C9B4
 U+4F22	C9B7
 U+4F2C	C9AD
 U+4F2D	CA66
 U+4F2F	A742
 U+4F30	A6F4
 U+4F33	CA67
 U+4F34	A6F1
 U+4F36	A744
 U+4F38	A6F9
 U+4F3A	A6F8
 U+4F3B	CA5B
 U+4F3C	A6FC
 U+4F3D	A6F7
 U+4F3E	CA60
 U+4F3F	CA68
 U+4F41	CA64
 U+4F43	A6FA
 U+4F46	A6FD
 U+4F47	A6EE
 U+4F48	A747
 U+4F49	CA5D
 U+4F4C	CBBD
 U+4F4D	A6EC
 U+4F4E	A743
 U+4F4F	A6ED
 U+4F50	A6F5
 U+4F51	A6F6
 U+4F52	CA62
 U+4F53	CA5E
 U+4F54	A6FB
 U+4F55	A6F3
 U+4F56	CA5A
 U+4F57	A6EF
 U+4F58	CA65
 U+4F59	A745
 U+4F5A	A748
 U+4F5B	A6F2
 U+4F5C	A740
 U+4F5D	A746
 U+4F5E	A6F0
 U+4F5F	CA63
 U+4F60	A741
 U+4F61	CA69
 U+4F62	CA5C
 U+4F63	A6FE
 U+4F64	CA5F
 U+4F67	CA61
 U+4F69	A8D8
 U+4F6A	CBBF
 U+4F6B	CBCB
 U+4F6C	A8D0
 U+4F6E	CBCC
 U+4F6F	A8CB
 U+4F70	A8D5
 U+4F73	A8CE
 U+4F74	CBB9
 U+4F75	A8D6
 U+4F76	CBB8
 U+4F77	CBBC
 U+4F78	CBC3
 U+4F79	CBC1
 U+4F7A	A8DE
 U+4F7B	A8D9
 U+4F7C	CBB3
 U+4F7D	CBB5
 U+4F7E	A8DB
 U+4F7F	A8CF
 U+4F80	CBB6
 U+4F81	CBC2
 U+4F82	CBC9
 U+4F83	A8D4
 U+4F84	CBBB
 U+4F85	CBB4
 U+4F86	A8D3
 U+4F87	CBB7
 U+4F88	A8D7
 U+4F89	CBBA
 U+4F8B	A8D2
 U+4F8D	A8CD
 U+4F8F	A8DC
 U+4F90	CBC4
 U+4F91	A8DD
 U+4F92	CBC8
 U+4F94	CBC6
 U+4F95	CBCA
 U+4F96	A8DA
 U+4F97	CBBE
 U+4F98	CBB2
 U+4F9A	CBC0
 U+4F9B	A8D1
 U+4F9C	CBC5
 U+4F9D	A8CC
 U+4F9E	CBC7
 U+4FAE	AB56
 U+4FAF	AB4A
 U+4FB2	CDE0
 U+4FB3	CDE8
 U+4FB5	AB49
 U+4FB6	AB51
 U+4FB7	AB5D
 U+4FB9	CDEE
 U+4FBA	CDEC
 U+4FBB	CDE7
 U+4FBF	AB4B
 U+4FC0	CDED
 U+4FC1	CDE3
 U+4FC2	AB59
 U+4FC3	AB50
 U+4FC4	AB58
 U+4FC5	CDDE
 U+4FC7	CDEA
 U+4FC9	CDE1
 U+4FCA	AB54
 U+4FCB	CDE2
 U+4FCD	CDDD
 U+4FCE	AB5B
 U+4FCF	AB4E
 U+4FD0	AB57
 U+4FD1	AB4D
 U+4FD3	CDDF
 U+4FD4	CDE4
 U+4FD6	CDEB
 U+4FD7	AB55
 U+4FD8	AB52
 U+4FD9	CDE6
 U+4FDA	AB5A
 U+4FDB	CDE9
 U+4FDC	CDE5
 U+4FDD	AB4F
 U+4FDE	AB5C
 U+4FDF	AB53
 U+4FE0	AB4C
 U+4FE1	AB48
 U+4FEC	CDEF
 U+4FEE	ADD7
 U+4FEF	ADC1
 U+4FF1	ADD1
 U+4FF3	ADD6
 U+4FF4	D0D0
 U+4FF5	D0CF
 U+4FF6	D0D4
 U+4FF7	D0D5
 U+4FF8	ADC4
 U+4FFA	ADCD
 U+4FFE	ADDA
 U+5000	ADCE
 U+5005	D0C9
 U+5006	ADC7
 U+5007	D0CA
 U+5009	ADDC
 U+500B	ADD3
 U+500C	ADBE
 U+500D	ADBF
 U+500E	D0DD
 U+500F	B0BF
 U+5011	ADCC
 U+5012	ADCB
 U+5013	D0CB
 U+5014	ADCF
 U+5015	D45B
 U+5016	ADC6
 U+5017	D0D6
 U+5018	ADD5
 U+5019	ADD4
 U+501A	ADCA
 U+501B	D0CE
 U+501C	D0D7
 U+501E	D0C8
 U+501F	ADC9
 U+5020	D0D8
 U+5021	ADD2
 U+5022	D0CC
 U+5023	ADC0
 U+5025	ADC3
 U+5026	ADC2
 U+5027	D0D9
 U+5028	ADD0
 U+5029	ADC5
 U+502A	ADD9
 U+502B	ADDB
 U+502C	D0D3
 U+502D	ADD8
 U+502F	D0DB
 U+5030	D0CD
 U+5031	D0DC
 U+5033	D0D1
 U+5035	D0DA
 U+5037	D0D2
 U+503C	ADC8
 U+5040	D463
 U+5041	D457
 U+5043	B0B3
 U+5045	D45C
 U+5046	D462
 U+5047	B0B2
 U+5048	D455
 U+5049	B0B6
 U+504A	D459
 U+504B	D452
 U+504C	B0B4
 U+504D	D456
 U+504E	B0B9
 U+504F	B0BE
 U+5051	D467
 U+5053	D451
 U+5055	B0BA
 U+5057	D466
 U+505A	B0B5
 U+505B	D458
 U+505C	B0B1
 U+505D	D453
 U+505E	D44F
 U+505F	D45D
 U+5060	D450
 U+5061	D44E
 U+5062	D45A
 U+5063	D460
 U+5064	D461
 U+5065	B0B7
 U+5068	D85B
 U+5069	D45E
 U+506A	D44D
 U+506B	D45F
 U+506D	B0C1
 U+506E	D464
 U+506F	B0C0
 U+5070	D44C
 U+5072	D454
 U+5073	D465
 U+5074	B0BC
 U+5075	B0BB
 U+5076	B0B8
 U+5077	B0BD
 U+507A	B0AF
 U+507D	B0B0
 U+5080	B3C8
 U+5082	D85E
 U+5083	D857
 U+5085	B3C5
 U+5087	D85F
 U+508B	D855
 U+508C	D858
 U+508D	B3C4
 U+508E	D859
 U+5091	B3C7
 U+5092	D85D
 U+5094	D853
 U+5095	D852
 U+5096	B3C9
 U+5098	B3CA
 U+5099	B3C6
 U+509A	B3CB
 U+509B	D851
 U+509C	D85C
 U+509D	D85A
 U+509E	D854
 U+50A2	B3C3
 U+50A3	D856
 U+50AC	B6CA
 U+50AD	B6C4
 U+50AE	DCB7
 U+50AF	B6CD
 U+50B0	DCBD
 U+50B1	DCC0
 U+50B2	B6C6
 U+50B3	B6C7
 U+50B4	DCBA
 U+50B5	B6C5
 U+50B6	DCC3
 U+50B7	B6CB
 U+50B8	DCC4
 U+50BA	DCBF
 U+50BB	B6CC
 U+50BD	DCB4
 U+50BE	B6C9
 U+50BF	DCB5
 U+50C1	DCBE
 U+50C2	DCBC
 U+50C4	DCB8
 U+50C5	B6C8
 U+50C6	DCB6
 U+50C7	B6CE
 U+50C8	DCBB
 U+50C9	DCC2
 U+50CA	DCB9
 U+50CB	DCC1
 U+50CE	B9B6
 U+50CF	B9B3
 U+50D1	B9B4
 U+50D3	E0F9
 U+50D4	E0F1
 U+50D5	B9B2
 U+50D6	B9AF
 U+50D7	E0F2
 U+50DA	B9B1
 U+50DB	E0F5
 U+50DD	E0F7
 U+50E0	E0FE
 U+50E3	E0FD
 U+50E4	E0F8
 U+50E5	B9AE
 U+50E6	E0F0
 U+50E7	B9AC
 U+50E8	E0F3
 U+50E9	B9B7
 U+50EA	E0F6
 U+50EC	E0FA
 U+50ED	B9B0
 U+50EE	B9AD
 U+50EF	E0FC
 U+50F0	E0FB
 U+50F1	B9B5
 U+50F3	E0F4
 U+50F5	BBF8
 U+50F6	E4EC
 U+50F8	E4E9
 U+50F9	BBF9
 U+50FB	BBF7
 U+50FD	E4F0
 U+50FE	E4ED
 U+50FF	E4E6
 U+5100	BBF6
 U+5102	BBFA
 U+5103	E4E7
 U+5104	BBF5
 U+5105	BBFD
 U+5106	E4EA
 U+5107	E4EB
 U+5108	BBFB
 U+5109	BBFC
 U+510A	E4F1
 U+510B	E4EE
 U+510C	E4EF
 U+5110	BEAA
 U+5111	E8F8
 U+5112	BEA7
 U+5113	E8F5
 U+5114	BEA9
 U+5115	BEAB
 U+5117	E8F6
 U+5118	BEA8
 U+511A	E8F7
 U+511C	E8F4
 U+511F	C076
 U+5120	ECBD
 U+5121	C077
 U+5122	ECBB
 U+5124	ECBC
 U+5125	ECBA
 U+5126	ECB9
 U+5129	ECBE
 U+512A	C075
 U+512D	EFB8
 U+512E	EFB9
 U+5130	E4E8
 U+5131	EFB7
 U+5132	C078
 U+5133	C35F
 U+5134	F1EB
 U+5135	F1EC
 U+5137	C4D7
 U+5138	C4D8
 U+5139	F5C1
 U+513A	F5C0
 U+513B	C56C
 U+513C	C56B
 U+513D	F7D0
 U+513F	A449
 U+5140	A461
 U+5141	A4B9
 U+5143	A4B8
 U+5144	A553
 U+5145	A552
 U+5146	A5FC
 U+5147	A5FB
 U+5148	A5FD
 U+5149	A5FA
 U+514B	A74A
 U+514C	A749
 U+514D	A74B
 U+5152	A8E0
 U+5154	A8DF
 U+5155	A8E1
 U+5157	AB5E
 U+5159	A259
 U+515A	D0DE
 U+515B	A25A
 U+515C	B0C2
 U+515D	A25C
 U+515E	A25B
 U+515F	D860
 U+5161	A25D
 U+5162	B9B8
 U+5163	A25E
 U+5165	A44A
 U+5167	A4BA
 U+5168	A5FE
 U+5169	A8E2
 U+516B	A44B
 U+516C	A4BD
 U+516D	A4BB
 U+516E	A4BC
 U+5171	A640
 U+5175	A74C
 U+5176	A8E4
 U+5177	A8E3
 U+5178	A8E5
 U+517C	ADDD
 U+5180	BEAC
 U+5187	C94E
 U+5189	A554
 U+518A	A555
 U+518D	A641
 U+518F	CA6A
 U+5191	AB60
 U+5192	AB5F
 U+5193	D0E0
 U+5194	D0DF
 U+5195	B0C3
 U+5197	A4BE
 U+5198	C955
 U+519E	CBCD
 U+51A0	AB61
 U+51A2	ADE0
 U+51A4	ADDE
 U+51A5	ADDF
 U+51AA	BEAD
 U+51AC	A556
 U+51B0	A642
 U+51B1	C9BC
 U+51B6	A74D
 U+51B7	A74E
 U+51B9	CA6B
 U+51BC	CBCE
 U+51BD	A8E6
 U+51BE	CBCF
 U+51C4	D0E2
 U+51C5	D0E3
 U+51C6	ADE3
 U+51C8	D0E4
 U+51CA	D0E1
 U+51CB	ADE4
 U+51CC	ADE2
 U+51CD	ADE1
 U+51CE	D0E5
 U+51D0	D468
 U+51D4	D861
 U+51D7	DCC5
 U+51D8	E140
 U+51DC	BBFE
 U+51DD	BEAE
 U+51DE	E8F9
 U+51E0	A44C
 U+51E1	A45A
 U+51F0	B0C4
 U+51F1	B3CD
 U+51F3	B9B9
 U+51F5	C942
 U+51F6	A4BF
 U+51F8	A559
 U+51F9	A557
 U+51FA	A558
 U+51FD	A8E7
 U+5200	A44D
 U+5201	A44E
 U+5203	A462
 U+5206	A4C0
 U+5207	A4C1
 U+5208	A4C2
 U+5209	C9BE
 U+520A	A55A
 U+520C	C96B
 U+520E	A646
 U+5210	C9BF
 U+5211	A644
 U+5212	A645
 U+5213	C9BD
 U+5216	A647
 U+5217	A643
 U+521C	CA6C
 U+521D	AAEC
 U+521E	CA6D
 U+5221	CA6E
 U+5224	A750
 U+5225	A74F
 U+5228	A753
 U+5229	A751
 U+522A	A752
 U+522E	A8ED
 U+5230	A8EC
 U+5231	CBD4
 U+5232	CBD1
 U+5233	CBD2
 U+5235	CBD0
 U+5236	A8EE
 U+5237	A8EA
 U+5238	A8E9
 U+523A	A8EB
 U+523B	A8E8
 U+5241	A8EF
 U+5243	AB63
 U+5244	CDF0
 U+5246	CBD3
 U+5247	AB68
 U+5249	CDF1
 U+524A	AB64
 U+524B	AB67
 U+524C	AB66
 U+524D	AB65
 U+524E	AB62
 U+5252	D0E8
 U+5254	ADE7
 U+5255	D0EB
 U+5256	ADE5
 U+525A	D0E7
 U+525B	ADE8
 U+525C	ADE6
 U+525D	ADE9
 U+525E	D0E9
 U+525F	D0EA
 U+5261	D0E6
 U+5262	D0EC
 U+5269	B3D1
 U+526A	B0C5
 U+526B	D469
 U+526C	D46B
 U+526D	D46A
 U+526E	D46C
 U+526F	B0C6
 U+5272	B3CE
 U+5274	B3CF
 U+5275	B3D0
 U+5277	B6D0
 U+5278	DCC7
 U+527A	DCC6
 U+527B	DCC8
 U+527C	DCC9
 U+527D	B6D1
 U+527F	B6CF
 U+5280	E141
 U+5281	E142
 U+5282	B9BB
 U+5283	B9BA
 U+5284	E35A
 U+5287	BC40
 U+5288	BC41
 U+5289	BC42
 U+528A	BC44
 U+528B	E4F2
 U+528C	E4F3
 U+528D	BC43
 U+5291	BEAF
 U+5293	BEB0
 U+5296	F1ED
 U+5297	F5C3
 U+5298	F5C2
 U+5299	F7D1
 U+529B	A44F
 U+529F	A55C
 U+52A0	A55B
 U+52A3	A648
 U+52A6	C9C0
 U+52A9	A755
 U+52AA	A756
 U+52AB	A754
 U+52AC	A757
 U+52AD	CA6F
 U+52AE	CA70
 U+52BB	A8F1
 U+52BC	CBD5
 U+52BE	A8F0
 U+52C0	CDF2
 U+52C1	AB6C
 U+52C2	CDF3
 U+52C3	AB6B
 U+52C7	AB69
 U+52C9	AB6A
 U+52CD	D0ED
 U+52D2	B0C7
 U+52D3	D46E
 U+52D5	B0CA
 U+52D6	D46D
 U+52D7	B1E5
 U+52D8	B0C9
 U+52D9	B0C8
 U+52DB	B3D4
 U+52DD	B3D3
 U+52DE	B3D2
 U+52DF	B6D2
 U+52E2	B6D5
 U+52E3	B6D6
 U+52E4	B6D4
 U+52E6	B6D3
 U+52E9	E143
 U+52EB	E144
 U+52EF	E4F5
 U+52F0	BC45
 U+52F1	E4F4
 U+52F3	BEB1
 U+52F4	ECBF
 U+52F5	C079
 U+52F7	F1EE
 U+52F8	C455
 U+52FA	A463
 U+52FB	A4C3
 U+52FC	C956
 U+52FE	A4C4
 U+52FF	A4C5
 U+5305	A55D
 U+5306	A55E
 U+5308	A649
 U+5309	CA71
 U+530A	CBD6
 U+530B	CBD7
 U+530D	AB6D
 U+530E	D0EE
 U+530F	B0CC
 U+5310	B0CB
 U+5311	D863
 U+5312	D862
 U+5315	A450
 U+5316	A4C6
 U+5317	A55F
 U+5319	B0CD
 U+531A	C943
 U+531C	C96C
 U+531D	A560
 U+531F	C9C2
 U+5320	A64B
 U+5321	A64A
 U+5322	C9C1
 U+5323	A758
 U+532A	ADEA
 U+532D	D46F
 U+532F	B6D7
 U+5330	E145
 U+5331	B9BC
 U+5334	E8FA
 U+5337	F3FD
 U+5339	A4C7
 U+533C	CBD8
 U+533D	CDF4
 U+533E	B0D0
 U+533F	B0CE
 U+5340	B0CF
 U+5341	A451
 U+5343	A464
 U+5344	A2CD
 U+5345	A4CA
 U+5347	A4C9
 U+5348	A4C8
 U+5349	A563
 U+534A	A562
 U+534C	C96D
 U+534D	C9C3
 U+5351	A8F5
 U+5352	A8F2
 U+5353	A8F4
 U+5354	A8F3
 U+5357	AB6E
 U+535A	B3D5
 U+535C	A452
 U+535E	A4CB
 U+5360	A565
 U+5361	A564
 U+5363	CA72
 U+5366	A8F6
 U+536C	C957
 U+536E	A567
 U+536F	A566
 U+5370	A64C
 U+5371	A64D
 U+5372	CA73
 U+5373	A759
 U+5375	A75A
 U+5377	A8F7
 U+5378	A8F8
 U+5379	A8F9
 U+537B	AB6F
 U+537C	CDF5
 U+537F	ADEB
 U+5382	C944
 U+5384	A4CC
 U+538A	C9C4
 U+538E	CA74
 U+538F	CA75
 U+5392	CBD9
 U+5394	CBDA
 U+5396	CDF7
 U+5397	CDF6
 U+5398	CDF9
 U+5399	CDF8
 U+539A	AB70
 U+539C	D470
 U+539D	ADED
 U+539E	D0EF
 U+539F	ADEC
 U+53A4	D864
 U+53A5	B3D6
 U+53A7	D865
 U+53AC	E146
 U+53AD	B9BD
 U+53B2	BC46
 U+53B4	F1EF
 U+53B9	C958
 U+53BB	A568
 U+53C3	B0D1
 U+53C8	A453
 U+53C9	A465
 U+53CA	A4CE
 U+53CB	A4CD
 U+53CD	A4CF
 U+53D4	A8FB
 U+53D6	A8FA
 U+53D7	A8FC
 U+53DB	AB71
 U+53DF	ADEE
 U+53E1	E8FB
 U+53E2	C24F
 U+53E3	A466
 U+53E4	A56A
 U+53E5	A579
 U+53E6	A574
 U+53E8	A56F
 U+53E9	A56E
 U+53EA	A575
 U+53EB	A573
 U+53EC	A56C
 U+53ED	A57A
 U+53EE	A56D
 U+53EF	A569
 U+53F0	A578
 U+53F1	A577
 U+53F2	A576
 U+53F3	A56B
 U+53F5	A572
 U+53F8	A571
 U+53FB	A57B
 U+53FC	A570
 U+5401	A653
 U+5403	A659
 U+5404	A655
 U+5406	A65B
 U+5407	C9C5
 U+5408	A658
 U+5409	A64E
 U+540A	A651
 U+540B	A654
 U+540C	A650
 U+540D	A657
 U+540E	A65A
 U+540F	A64F
 U+5410	A652
 U+5411	A656
 U+5412	A65C
 U+5418	CA7E
 U+5419	CA7B
 U+541B	A767
 U+541C	CA7C
 U+541D	A75B
 U+541E	A75D
 U+541F	A775
 U+5420	A770
 U+5424	CAA5
 U+5425	CA7D
 U+5426	A75F
 U+5427	A761
 U+5428	CAA4
 U+5429	A768
 U+542A	CA78
 U+542B	A774
 U+542C	A776
 U+542D	A75C
 U+542E	A76D
 U+5430	CA76
 U+5431	A773
 U+5433	A764
 U+5435	A76E
 U+5436	A76F
 U+5437	CA77
 U+5438	A76C
 U+5439	A76A
 U+543B	A76B
 U+543C	A771
 U+543D	CAA1
 U+543E	A75E
 U+5440	A772
 U+5441	CAA3
 U+5442	A766
 U+5443	A763
 U+5445	CA7A
 U+5446	A762
 U+5447	CAA6
 U+5448	A765
 U+544A	A769
 U+544E	A760
 U+544F	CAA2
 U+5454	CA79
 U+5460	CBEB
 U+5461	CBEA
 U+5462	A94F
 U+5463	CBED
 U+5464	CBEF
 U+5465	CBE4
 U+5466	CBE7
 U+5467	CBEE
 U+5468	A950
 U+546B	CBE1
 U+546C	CBE5
 U+546F	CBE9
 U+5470	CE49
 U+5471	A94B
 U+5472	CE4D
 U+5473	A8FD
 U+5474	CBE6
 U+5475	A8FE
 U+5476	A94C
 U+5477	A945
 U+5478	A941
 U+547A	CBE2
 U+547B	A944
 U+547C	A949
 U+547D	A952
 U+547E	CBE3
 U+547F	CBDC
 U+5480	A943
 U+5481	CBDD
 U+5482	CBDF
 U+5484	A946
 U+5486	A948
 U+5487	CBDB
 U+5488	CBE0
 U+548B	A951
 U+548C	A94D
 U+548D	CBE8
 U+548E	A953
 U+5490	A94A
 U+5491	CBDE
 U+5492	A947
 U+5495	A942
 U+5496	A940
 U+5498	CBEC
 U+549A	A94E
 U+54A0	CE48
 U+54A1	CDFB
 U+54A2	CE4B
 U+54A5	CDFD
 U+54A6	AB78
 U+54A7	ABA8
 U+54A8	AB74
 U+54A9	ABA7
 U+54AA	AB7D
 U+54AB	ABA4
 U+54AC	AB72
 U+54AD	CDFC
 U+54AE	CE43
 U+54AF	ABA3
 U+54B0	CE4F
 U+54B1	ABA5
 U+54B3	AB79
 U+54B6	CE45
 U+54B7	CE42
 U+54B8	AB77
 U+54BA	CDFA
 U+54BB	ABA6
 U+54BC	CE4A
 U+54BD	AB7C
 U+54BE	CE4C
 U+54BF	ABA9
 U+54C0	AB73
 U+54C1	AB7E
 U+54C2	AB7B
 U+54C3	CE40
 U+54C4	ABA1
 U+54C5	CE46
 U+54C6	CE47
 U+54C7	AB7A
 U+54C8	ABA2
 U+54C9	AB76
 U+54CE	AB75
 U+54CF	CDFE
 U+54D6	CE44
 U+54DE	CE4E
 U+54E0	D144
 U+54E1	ADFB
 U+54E2	D0F1
 U+54E4	D0F6
 U+54E5	ADF4
 U+54E6	AE40
 U+54E7	D0F4
 U+54E8	ADEF
 U+54E9	ADF9
 U+54EA	ADFE
 U+54EB	D0FB
 U+54ED	ADFA
 U+54EE	ADFD
 U+54F1	D0FE
 U+54F2	ADF5
 U+54F3	D0F5
 U+54F7	D142
 U+54F8	D143
 U+54FA	ADF7
 U+54FB	D141
 U+54FC	ADF3
 U+54FD	AE43
 U+54FF	D0F8
 U+5501	ADF1
 U+5503	D146
 U+5504	D0F9
 U+5505	D0FD
 U+5506	ADF6
 U+5507	AE42
 U+5508	D0FA
 U+5509	ADFC
 U+550A	D140
 U+550B	D147
 U+550C	D4A1
 U+550E	D145
 U+550F	AE44
 U+5510	ADF0
 U+5511	D0FC
 U+5512	D0F3
 U+5514	ADF8
 U+5517	D0F2
 U+551A	D0F7
 U+5526	D0F0
 U+5527	AE41
 U+552A	D477
 U+552C	B0E4
 U+552D	D4A7
 U+552E	B0E2
 U+552F	B0DF
 U+5530	D47C
 U+5531	B0DB
 U+5532	D4A2
 U+5533	B0E6
 U+5534	D476
 U+5535	D47B
 U+5536	D47A
 U+5537	ADF2
 U+5538	B0E1
 U+5539	D4A5
 U+553B	D4A8
 U+553C	D473
 U+553E	B3E8
 U+5540	D4A9
 U+5541	B0E7
 U+5543	B0D9
 U+5544	B0D6
 U+5545	D47E
 U+5546	B0D3
 U+5548	D4A6
 U+554A	B0DA
 U+554B	D4AA
 U+554D	D474
 U+554E	D4A4
 U+554F	B0DD
 U+5550	D475
 U+5551	D478
 U+5552	D47D
 U+5555	B0DE
 U+5556	B0DC
 U+5557	B0E8
 U+555C	B0E3
 U+555E	B0D7
 U+555F	B1D2
 U+5561	B0D8
 U+5562	D479
 U+5563	B0E5
 U+5564	B0E0
 U+5565	D4A3
 U+5566	B0D5
 U+556A	B0D4
 U+5575	D471
 U+5576	D472
